"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"CDK7","Gene","inhibitor","SNS-032","Drug","DGidb","Drug-Gene Interation",""
"TRPC6","Gene","blocker","ACAA","Drug","DGidb","Drug-Gene Interation",""
"PDGFRB","Gene","inhibitor","QUIZARTINIB","Drug","DGidb","Drug-Gene Interation",""
"MMP2","Gene","inhibitor","ARP100","Drug","DGidb","Drug-Gene Interation",""
"PIK3R2","Gene","inhibitor","PF-4691502","Drug","DGidb","Drug-Gene Interation",""
"CHRM5","Gene","agonist","NNC 11-1607","Drug","DGidb","Drug-Gene Interation",""
"F2R","Gene","inhibitor","RIGOSERTIB SODIUM","Drug","DGidb","Drug-Gene Interation",""
"HTR1A","Gene","agonist","LYSERGIDE","Drug","DGidb","Drug-Gene Interation",""
"PI4KB","Gene","inhibitor","PIK-93","Drug","DGidb","Drug-Gene Interation",""
"CD2","Gene","inhibitor","ALEFACEPT","Drug","DGidb","Drug-Gene Interation",""
"CACNA1F","Gene","modulator","IMAGABALIN","Drug","DGidb","Drug-Gene Interation",""
"GABRA6","Gene","allosteric modulator","BRETAZENIL","Drug","DGidb","Drug-Gene Interation",""
"SMARCA4","Gene","inhibitor","PFI-3","Drug","DGidb","Drug-Gene Interation",""
"CSF1R","Gene","inhibitor","CEDIRANIB","Drug","DGidb","Drug-Gene Interation",""
"TLR8","Gene","agonist","MOTOLIMOD","Drug","DGidb","Drug-Gene Interation",""
"SCN11A","Gene","blocker","NKTR-171","Drug","DGidb","Drug-Gene Interation",""
"DRD4","Gene","antagonist","LOXAPINE SUCCINATE","Drug","DGidb","Drug-Gene Interation",""
"ALK","Gene","inhibitor","ASP3026","Drug","DGidb","Drug-Gene Interation",""
"IRAK4","Gene","inhibitor","ND-2110","Drug","DGidb","Drug-Gene Interation",""
"TUBA3E","Gene","inhibitor","COLCHICINE","Drug","DGidb","Drug-Gene Interation",""
"HRH4","Gene","antagonist","MK-0249","Drug","DGidb","Drug-Gene Interation",""
"HTR2B","Gene","agonist","RO 60-0175","Drug","DGidb","Drug-Gene Interation",""
"TUBB","Gene","inhibitor","PACLITAXEL","Drug","DGidb","Drug-Gene Interation",""
"GRM2","Gene","allosteric modulator","COMPOUND 4","Drug","DGidb","Drug-Gene Interation","21105727"
"FLT3","Gene","inhibitor","LINIFANIB","Drug","DGidb","Drug-Gene Interation",""
"JAK2","Gene","inhibitor","RUXOLITINIB","Drug","DGidb","Drug-Gene Interation",""
"PDGFRB","Gene","inhibitor","PAZOPANIB","Drug","DGidb","Drug-Gene Interation",""
"PDE4C","Gene","inhibitor","OXTRIPHYLLINE","Drug","DGidb","Drug-Gene Interation",""
"FLT1","Gene","inhibitor","VANDETANIB","Drug","DGidb","Drug-Gene Interation",""
"AVPR2","Gene","antagonist","SKF-105494","Drug","DGidb","Drug-Gene Interation",""
"PRKCQ","Gene","inhibitor","PKCÎ˜ INHIBITOR 14","Drug","DGidb","Drug-Gene Interation",""
"CCR2","Gene","antagonist","GSK COMPOUND 34","Drug","DGidb","Drug-Gene Interation",""
"CCR2","Gene","antagonist","BMS-681","Drug","DGidb","Drug-Gene Interation",""
"LCK","Gene","inhibitor","ECF506","Drug","DGidb","Drug-Gene Interation",""
"HDAC11","Gene","inhibitor","PANOBINOSTAT LACTATE","Drug","DGidb","Drug-Gene Interation",""
"FURIN","Gene","inhibitor","MI-1148","Drug","DGidb","Drug-Gene Interation",""
"HDAC1","Gene","inhibitor","CUDC-101","Drug","DGidb","Drug-Gene Interation",""
"HRH1","Gene","antagonist","DOXEPIN","Drug","DGidb","Drug-Gene Interation",""
"EDNRA","Gene","antagonist","ZIBOTENTAN","Drug","DGidb","Drug-Gene Interation",""
"TRPC5","Gene","activator","BTD","Drug","DGidb","Drug-Gene Interation",""
"DRD2","Gene","agonist","QUINPIROLE","Drug","DGidb","Drug-Gene Interation",""
"NAT1","Gene","inhibitor","ORPHENADRINE (CHLORIDE)","Drug","DGidb","Drug-Gene Interation",""
"HTR2C","Gene","antagonist","ZIPRASIDONE","Drug","DGidb","Drug-Gene Interation",""
"LTB4R","Gene","antagonist","AMELUBANT","Drug","DGidb","Drug-Gene Interation",""
"SCN4A","Gene","blocker","ESLICARBAZEPINE","Drug","DGidb","Drug-Gene Interation",""
"P2RY14","Gene","agonist","UDP-GLUCURONIC ACID","Drug","DGidb","Drug-Gene Interation",""
"ROCK2","Gene","inhibitor","RHO KINASE INHIBITOR IV","Drug","DGidb","Drug-Gene Interation",""
"CHRM3","Gene","agonist","ARECOLINE","Drug","DGidb","Drug-Gene Interation",""
"FGFR4","Gene","inhibitor","DEBIO1347","Drug","DGidb","Drug-Gene Interation",""
"GALR1","Gene","agonist","GAL-B5","Drug","DGidb","Drug-Gene Interation",""
"GRIN2A","Gene","positive modulator","NEBOGLAMINE","Drug","DGidb","Drug-Gene Interation",""
"PIK3CA","Gene","inhibitor","ALPELISIB","Drug","DGidb","Drug-Gene Interation",""
"GPBAR1","Gene","agonist","LITHOCHOLIC ACID","Drug","DGidb","Drug-Gene Interation",""
"PTGER4","Gene","agonist","TCS 2510","Drug","DGidb","Drug-Gene Interation",""
"AR","Gene","agonist","TESTOSTERONE UNDECANOATE","Drug","DGidb","Drug-Gene Interation",""
"ADAMTS5","Gene","inhibitor","COMPOUND 15C","Drug","DGidb","Drug-Gene Interation","21536437"
"HTR1A","Gene","agonist","CP 93129","Drug","DGidb","Drug-Gene Interation",""
