"InteractorA"	"Relation"	"InteractorB"
"Glucagon"	"LEP"	"CYSTIC FIBROSIS"
"Glucagon"	"NEUROD1"	"OBESITY"
"Glucagon"	"NEUROD1"	"TYPE 1 DIABETES MELLITUS"
"Glucagon"	"NEUROD1"	"MATURITY-ONSET DIABETES OF THE YOUNG"
"Glucagon"	"NEUROD1"	"TYPE 2 DIABETES MELLITUS"
"Thyroid, porcine"	"KRAS"	"CHOLANGITIS, PRIMARY SCLEROSING"
"Aspirin"	"CAD"	"ALZHEIMER DISEASE"
"Aspirin"	"CAD"	"TYPE 2 DIABETES MELLITUS"
"Aspirin"	"APC"	"PANCREATIC CANCER"
"Aspirin"	"HCCS"	"TYPE 2 DIABETES MELLITUS"
"L-Glutamine"	"PIK3CA"	"ALZHEIMER DISEASE"
"L-Glutamine"	"NEUROD1"	"ALZHEIMER DISEASE"
"L-Glutamine"	"PSEN1"	"HUNTINGTON DISEASE"
"Curcumin"	"NFKB1"	"ALZHEIMER DISEASE 3"
"Curcumin"	"IMPACT"	"OBESITY"
"Curcumin"	"FBN2"	"OBESITY"
"Curcumin"	"HCCS"	"BREAST CANCER"
"Docetaxel"	"KRAS"	"PROSTATE CANCER"
"Docetaxel"	"SERPINB3"	"LUNG CANCER"
"Dibotermin alfa"	"TWIST1"	"GASTRIC CANCER"
"Dibotermin alfa"	"FN1"	"GASTRIC CANCER"
"Dibotermin alfa"	"VEGFA"	"GASTRIC CANCER"
"Dibotermin alfa"	"PTK2"	"GASTRIC CANCER"
"Dibotermin alfa"	"PROM1"	"GASTRIC CANCER"
"Dibotermin alfa"	"RAC1"	"GASTRIC CANCER"
"Dibotermin alfa"	"SMAD4"	"GASTRIC CANCER"
"Dibotermin alfa"	"SMAD3"	"GASTRIC CANCER"
"Dibotermin alfa"	"SETD2"	"GASTRIC CANCER"
"Vitamin D3"	"TNF"	"BREAST CANCER"
"Vitamin D3"	"TNF"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"TNF"	"BLOOD GROUP, Ss"
"Vitamin D3"	"TNF"	"PROSTATE CANCER"
"Vitamin D3"	"TNF"	"HOMOCYSTEINEMIA"
"Vitamin D3"	"TNF"	"SCHIZOPHRENIA"
"Vitamin D3"	"TNF"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"TNF"	"PANCREATIC CANCER"
"Vitamin D3"	"SOD1"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"SOD1"	"OBESITY"
"Vitamin D3"	"SOD1"	"SCHIZOPHRENIA"
"Vitamin D3"	"GCG"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"AKR1B10"	"BREAST CANCER"
"Vitamin D3"	"TCF7L2"	"BREAST CANCER"
"Vitamin D3"	"TCF7L2"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"TCF7L2"	"PROSTATE CANCER"
"Vitamin D3"	"TCF7L2"	"SCHIZOPHRENIA"
"Vitamin D3"	"TCF7L2"	"PANCREATIC CANCER"
"Vitamin D3"	"FLT1"	"BREAST CANCER"
"Vitamin D3"	"CYP27B1"	"PROSTATE CANCER"
"Vitamin D3"	"CYP27B1"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"HMGA2"	"BREAST CANCER"
"Vitamin D3"	"HMGA2"	"RHEUMATOID ARTHRITIS"
"Vitamin D3"	"HMGA2"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Vitamin D3"	"HMGA2"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"HMGA2"	"PANCREATIC CANCER"
"Vitamin D3"	"TLR9"	"NASOPHARYNGEAL CARCINOMA"
"Vitamin D3"	"TLR9"	"TYPE 1 DIABETES MELLITUS"
"Vitamin D3"	"HSPB1"	"BREAST CANCER"
"Vitamin D3"	"HSPB1"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Vitamin D3"	"HSPB1"	"SYSTEMIC LUPUS ERYTHEMATOSUS"
"Vitamin D3"	"HSPB1"	"ALZHEIMER DISEASE 3"
"Vitamin D3"	"HSPB1"	"NASOPHARYNGEAL CARCINOMA"
"Vitamin D3"	"PRMT1"	"OBESITY"
"Vitamin D3"	"SIRT6"	"ALZHEIMER DISEASE"
"Vitamin D3"	"CDKN2A"	"BREAST CANCER"
"Vitamin D3"	"CDKN2A"	"MYELOMA, MULTIPLE"
"Vitamin D3"	"CDKN2A"	"OVARIAN CANCER"
"Vitamin D3"	"CDKN2A"	"NASOPHARYNGEAL CARCINOMA"
"Vitamin D3"	"XRCC1"	"BREAST CANCER"
"Vitamin D3"	"CAD"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"CAD"	"ALZHEIMER DISEASE"
"Vitamin D3"	"CAD"	"HOMOCYSTEINEMIA"
"Vitamin D3"	"GSTT1"	"RHEUMATOID ARTHRITIS"
"Vitamin D3"	"GSTT1"	"ICHTHYOSIS, LAMELLAR, AUTOSOMAL DOMINANT"
"Vitamin D3"	"GSTT1"	"GASTRIC CANCER"
"Vitamin D3"	"GSTT1"	"ALZHEIMER DISEASE 3"
"Vitamin D3"	"GSTT1"	"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
"Vitamin D3"	"GSTT1"	"LUNG CANCER"
"Vitamin D3"	"GSTT1"	"TYPE 2 DIABETES MELLITUS"
"Vitamin D3"	"IL17F"	"BLOOD GROUP, Ss"
"Vitamin D3"	"MCIDAS"	"SCHIZOPHRENIA"
"Vitamin D3"	"IL1B"	"BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20"
"Vitamin D3"	"IL1B"	"NASOPHARYNGEAL CARCINOMA"
"Vitamin D3"	"IL1B"	"SCHIZOPHRENIA"
"Vitamin D3"	"IL1B"	"TYPE 1 DIABETES MELLITUS"
