"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"Glucagon","Drug","LEP","CYSTIC FIBROSIS","Disease","Collected from literature","Collected from literature",""
"Glucagon","Drug","NEUROD1","OBESITY","Disease","Collected from literature","Collected from literature",""
"Glucagon","Drug","NEUROD1","TYPE 1 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Glucagon","Drug","NEUROD1","MATURITY-ONSET DIABETES OF THE YOUNG","Disease","Collected from literature","Collected from literature",""
"Glucagon","Drug","NEUROD1","TYPE 2 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Thyroid, porcine","Drug","KRAS","CHOLANGITIS, PRIMARY SCLEROSING","Disease","Collected from literature","Collected from literature",""
"Aspirin","Drug","CAD","ALZHEIMER DISEASE","Disease","Collected from literature","Collected from literature",""
"Aspirin","Drug","CAD","TYPE 2 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"Aspirin","Drug","APC","PANCREATIC CANCER","Disease","Collected from literature","Collected from literature",""
"Aspirin","Drug","HCCS","TYPE 2 DIABETES MELLITUS","Disease","Collected from literature","Collected from literature",""
"L-Glutamine","Drug","PIK3CA","ALZHEIMER DISEASE","Disease","Collected from literature","Collected from literature",""
"L-Glutamine","Drug","NEUROD1","ALZHEIMER DISEASE","Disease","Collected from literature","Collected from literature",""
"L-Glutamine","Drug","PSEN1","HUNTINGTON DISEASE","Disease","Collected from literature","Collected from literature",""
"Curcumin","Drug","NFKB1","ALZHEIMER DISEASE 3","Disease","Collected from literature","Collected from literature",""
"Curcumin","Drug","IMPACT","OBESITY","Disease","Collected from literature","Collected from literature",""
"Curcumin","Drug","FBN2","OBESITY","Disease","Collected from literature","Collected from literature",""
"Curcumin","Drug","HCCS","BREAST CANCER","Disease","Collected from literature","Collected from literature",""
"Docetaxel","Drug","KRAS","PROSTATE CANCER","Disease","Collected from literature","Collected from literature",""
"Docetaxel","Drug","SERPINB3","LUNG CANCER","Disease","Collected from literature","Collected from literature",""
"Dibotermin alfa","Drug","TWIST1","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Dibotermin alfa","Drug","FN1","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Dibotermin alfa","Drug","VEGFA","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Dibotermin alfa","Drug","PTK2","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Dibotermin alfa","Drug","PROM1","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Dibotermin alfa","Drug","RAC1","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
"Dibotermin alfa","Drug","SMAD4","GASTRIC CANCER","Disease","Collected from literature","Collected from literature",""
