"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"CPR:3","Protein","ACTIVATOR","Arg1:T13 , Arg2:T57","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:3","Protein","ACTIVATOR","Arg1:T7 , Arg2:T39","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:3","Protein","ACTIVATOR","Arg1:T7 , Arg2:T40","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:3","Protein","ACTIVATOR","Arg1:T7 , Arg2:T41","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T13 , Arg2:T55","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T13 , Arg2:T56","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T2 , Arg2:T30","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T2 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T2 , Arg2:T32","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:3","Protein","INDIRECT-UPREGULATOR","Arg1:T2 , Arg2:T33","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T13 , Arg2:T54","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T7 , Arg2:T38","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:4","Protein","INHIBITOR","Arg1:T10 , Arg2:T46","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:4","Protein","INHIBITOR","Arg1:T16 , Arg2:T62","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:4","Protein","INHIBITOR","Arg1:T1 , Arg2:T50","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:4","Protein","INHIBITOR","Arg1:T2 , Arg2:T30","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:4","Protein","INHIBITOR","Arg1:T2 , Arg2:T31","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:4","Protein","INHIBITOR","Arg1:T2 , Arg2:T34","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:4","Protein","INHIBITOR","Arg1:T7 , Arg2:T37","Protein","Chemprot","Protein-Protein Interaction",10047461
"CPR:2","Protein","INDIRECT-REGULATOR","Arg1:T5 , Arg2:T9","Protein","Chemprot","Protein-Protein Interaction",10095983
"CPR:4","Protein","INDIRECT-DOWNREGULATOR","Arg1:T1 , Arg2:T8","Protein","Chemprot","Protein-Protein Interaction",10095983
"CPR:4","Protein","INHIBITOR","Arg1:T7 , Arg2:T10","Protein","Chemprot","Protein-Protein Interaction",10095983
