InteractorA,Relation,InteractorB
FKBP5,up-regulates-activity,YY1
YY1,down-regulates-quantity-by-repression,TNFRSF10B
YY1,down-regulates-quantity-by-repression,MYC
MYC,down-regulates-activity,YY1
CHD8,up-regulates-quantity-by-expression,CCNE2
NEXMIF,up-regulates-quantity-by-expression,CDH2
CHD8,up-regulates-quantity-by-expression,TYMS
NEXMIF,up-regulates-quantity-by-expression,ITGB1
CEP41,up-regulates-activity,HIF1A
CIB2,up-regulates-activity,TMC1
CIB2,up-regulates-activity,TMC2
SRSF11,up-regulates-quantity-by-stabilization,LRP8
SRSF11,up-regulates-quantity-by-stabilization,APOE
TRAPPC9,up-regulates-activity,MAP3K14
TRAPPC9,up-regulates-activity,IKBKB
MCTS1,up-regulates-activity,DENR
DENR,up-regulates-quantity-by-expression,JAK2
CASP1,up-regulates-activity,SPHK2
KCNQ3,up-regulates-activity,KCNQ2
KCNQ2,up-regulates-activity,KCNQ3
HDAC1,down-regulates-activity,YY1
HDAC2,down-regulates-activity,YY1
HDAC3,down-regulates-activity,YY1
CUL5,up-regulates-activity,ARIH2
CUL1,up-regulates-activity,ARIH1
CUL2,up-regulates-activity,ARIH1
CUL3,up-regulates-activity,ARIH1
CUL4A,up-regulates-activity,ARIH1
ARIH1,down-regulates-quantity-by-destabilization,EIF4E2
CEP135,up-regulates-activity,SASS6
CEP135,up-regulates-activity,CENPJ
GALNT8,down-regulates-activity,EGFR
FOXA2,down-regulates-quantity-by-repression,SLCO1B3
TNRC6B,up-regulates-activity,AGO2
WWP2,down-regulates-quantity,EGR2
WWP2,down-regulates-quantity,POU5F1
WWP2,down-regulates-quantity,POLR2A
WWP2,down-regulates-quantity,SLC11A2
CADM2,up-regulates-activity,PTK2
SPOP,down-regulates-quantity,BRMS1
SPOP,down-regulates-quantity,DAXX
SPOP,down-regulates-quantity,PDX1
SPOP,down-regulates-quantity,GLI2
SPOP,down-regulates-quantity,GLI3
SPOP,down-regulates-quantity,HDAC6
Oxytocin,up-regulates-activity,OXTR
CTTNBP2,up-regulates-activity,SHANK3
NFIA,up-regulates-quantity,NFIX
NFIA,down-regulates-quantity,ANOS1
NFIA,down-regulates-quantity,ID3
NFIA,down-regulates-quantity,ETV5
NFIA,down-regulates-quantity,FOXO6
NFIA,down-regulates-quantity,GAS6
NFIA,down-regulates-quantity,WNT5A
NFIB,down-regulates-quantity,ANOS1
NFIB,down-regulates-quantity,ID3
NFIB,down-regulates-quantity,ETV5
NFIB,down-regulates-quantity,FOXO6
NFIB,down-regulates-quantity,GAS6
NFIB,down-regulates-quantity,WNT5A
CTTNBP2,up-regulates-activity,CTTN
NFIX,down-regulates-quantity,ID3
NFIX,down-regulates-quantity,ETV5
NFIX,down-regulates-quantity,FOXO6
NFIX,down-regulates-quantity,GAS6
NFIX,down-regulates-quantity,WNT5A
NFIA,up-regulates-quantity,NEUROD1
NFIA,up-regulates-quantity,NEUROD4
NFIA,up-regulates-quantity,SLIT1
NFIA,up-regulates-quantity,ROBO1
NFIA,up-regulates-quantity,EPHA4
NFIA,up-regulates-quantity,EPHA5
NFIA,up-regulates-quantity,EPHA8
NFIB,up-regulates-quantity,NEUROD1
NFIB,up-regulates-quantity,NEUROD4
PTK2B,up-regulates-activity,ASAP2
ASAP2,up-regulates-activity,ARF1
ASAP2,up-regulates-activity,ARF6
NFIB,up-regulates-quantity,SLIT1
NFIB,up-regulates-quantity,ROBO1
NFIB,up-regulates-quantity,EPHA4
NFIB,up-regulates-quantity,EPHA5
NFIB,up-regulates-quantity,EPHA8
NFIX,up-regulates-quantity,NEUROD1
NFIX,up-regulates-quantity,NEUROD4
NFIX,up-regulates-quantity,SLIT1
NFIX,up-regulates-quantity,ROBO1
NFIX,up-regulates-quantity,EPHA4
NFIX,up-regulates-quantity,EPHA5
NFIX,up-regulates-quantity,EPHA8
NFIA,up-regulates-quantity,RBFOX3
NFIB,up-regulates-quantity,RBFOX3
NFIX,up-regulates-quantity,RBFOX3
ASAP2,up-regulates-activity,ARF5
BAP1,up-regulates-quantity-by-stabilization,KEAP1
KEAP1,up-regulates-activity,CUL3
SPOP,down-regulates-activity,GMNN
SPOP,up-regulates-activity,CUL3
CHD8,down-regulates-quantity,DCX
CHD8,down-regulates-quantity,MAP2
CHD8,down-regulates-quantity,NEFM
CHD8,down-regulates-quantity,NEUROD4
CHD8,down-regulates-quantity,NEUROG1
CHD8,down-regulates-quantity,SOX3
CHD8,down-regulates-quantity,SOX2
CHD8,down-regulates-quantity,SOX7
CHD8,down-regulates-quantity,SOX11
PIAS1,down-regulates-activity,SATB2
LRRK2,up-regulates-quantity,CADPS2
SNCA,down-regulates-quantity,CADPS2
SATB2,down-regulates-quantity,NR4A2
SATB2,down-regulates-quantity,BCL11B
SATB2,up-regulates-quantity,IGHM
SMAD1,up-regulates-quantity,SATB2
SMAD1,up-regulates-quantity,SMAD6
SMAD1,up-regulates-quantity,HAND1
SMAD1,up-regulates-quantity,GADD45G
SMAD1,up-regulates-quantity,GATA3
SMAD5,up-regulates-quantity,SATB2
SMAD5,up-regulates-quantity,SMAD6
SMAD5,up-regulates-quantity,HAND1
