"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"FKBP5","Gene","up-regulates-activity","YY1","Gene","SIGNOR","Signalling-Networks","34589486"
"YY1","Gene","down-regulates-quantity-by-repression","TNFRSF10B","Gene","SIGNOR","Signalling-Networks","34589486"
"YY1","Gene","down-regulates-quantity-by-repression","MYC","Gene","SIGNOR","Signalling-Networks","8266081"
"MYC","Gene","down-regulates-activity","YY1","Gene","SIGNOR","Signalling-Networks","8266081"
"CHD8","Gene","up-regulates-quantity-by-expression","CCNE2","Gene","SIGNOR","Signalling-Networks","19255092"
"NEXMIF","Gene","up-regulates-quantity-by-expression","CDH2","Gene","SIGNOR","Signalling-Networks","27822498"
"CHD8","Gene","up-regulates-quantity-by-expression","TYMS","Gene","SIGNOR","Signalling-Networks","19255092"
"NEXMIF","Gene","up-regulates-quantity-by-expression","ITGB1","Gene","SIGNOR","Signalling-Networks","27822498"
"CEP41","Gene","up-regulates-activity","HIF1A","Gene","SIGNOR","Signalling-Networks","31885126"
"CIB2","Gene","up-regulates-activity","TMC1","Gene","SIGNOR","Signalling-Networks","28663585"
"CIB2","Gene","up-regulates-activity","TMC2","Gene","SIGNOR","Signalling-Networks","28663585"
"SRSF11","Gene","up-regulates-quantity-by-stabilization","LRP8","Gene","SIGNOR","Signalling-Networks","31269452"
"SRSF11","Gene","up-regulates-quantity-by-stabilization","APOE","Gene","SIGNOR","Signalling-Networks","31269452"
"TRAPPC9","Gene","up-regulates-activity","MAP3K14","Gene","SIGNOR","Signalling-Networks","15951441"
"TRAPPC9","Gene","up-regulates-activity","IKBKB","Gene","SIGNOR","Signalling-Networks","15951441"
"MCTS1","Gene","up-regulates-activity","DENR","Gene","SIGNOR","Signalling-Networks","17878526"
"DENR","Gene","up-regulates-quantity-by-expression","JAK2","Gene","SIGNOR","Signalling-Networks","35440133"
"CASP1","Gene","up-regulates-activity","SPHK2","Gene","SIGNOR","Signalling-Networks","20197547"
"KCNQ3","Gene","up-regulates-activity","KCNQ2","Gene","SIGNOR","Signalling-Networks","9836639"
"KCNQ2","Gene","up-regulates-activity","KCNQ3","Gene","SIGNOR","Signalling-Networks","9836639"
"HDAC1","Gene","down-regulates-activity","YY1","Gene","SIGNOR","Signalling-Networks","11486036"
"HDAC2","Gene","down-regulates-activity","YY1","Gene","SIGNOR","Signalling-Networks","11486036"
"HDAC3","Gene","down-regulates-activity","YY1","Gene","SIGNOR","Signalling-Networks","11486036"
"CUL5","Gene","up-regulates-activity","ARIH2","Gene","SIGNOR","Signalling-Networks","24076655"
"CUL1","Gene","up-regulates-activity","ARIH1","Gene","SIGNOR","Signalling-Networks","24076655"
"CUL2","Gene","up-regulates-activity","ARIH1","Gene","SIGNOR","Signalling-Networks","24076655"
"CUL3","Gene","up-regulates-activity","ARIH1","Gene","SIGNOR","Signalling-Networks","24076655"
"CUL4A","Gene","up-regulates-activity","ARIH1","Gene","SIGNOR","Signalling-Networks","24076655"
"ARIH1","Gene","down-regulates-quantity-by-destabilization","EIF4E2","Gene","SIGNOR","Signalling-Networks","14623119"
"CEP135","Gene","up-regulates-activity","SASS6","Gene","SIGNOR","Signalling-Networks","23511974"
"CEP135","Gene","up-regulates-activity","CENPJ","Gene","SIGNOR","Signalling-Networks","23511974"
"GALNT8","Gene","down-regulates-activity","EGFR","Gene","SIGNOR","Signalling-Networks","35220009"
"FOXA2","Gene","down-regulates-quantity-by-repression","SLCO1B3","Gene","SIGNOR","Signalling-Networks","14739090"
"TNRC6B","Gene","up-regulates-activity","AGO2","Gene","SIGNOR","Signalling-Networks","17891150"
"WWP2","Gene","down-regulates-quantity","EGR2","Gene","SIGNOR","Signalling-Networks","19651900"
"WWP2","Gene","down-regulates-quantity","POU5F1","Gene","SIGNOR","Signalling-Networks","19274063"
"WWP2","Gene","down-regulates-quantity","POLR2A","Gene","SIGNOR","Signalling-Networks","31048545"
"WWP2","Gene","down-regulates-quantity","SLC11A2","Gene","SIGNOR","Signalling-Networks","18776082"
"CADM2","Gene","up-regulates-activity","PTK2","Gene","SIGNOR","Signalling-Networks","29506532"
"SPOP","Gene","down-regulates-quantity","BRMS1","Gene","SIGNOR","Signalling-Networks","22085717"
"SPOP","Gene","down-regulates-quantity","DAXX","Gene","SIGNOR","Signalling-Networks","16524876"
"SPOP","Gene","down-regulates-quantity","PDX1","Gene","SIGNOR","Signalling-Networks","20811152"
"SPOP","Gene","down-regulates-quantity","GLI2","Gene","SIGNOR","Signalling-Networks","20463034"
"SPOP","Gene","down-regulates-quantity","GLI3","Gene","SIGNOR","Signalling-Networks","20463034"
"SPOP","Gene","down-regulates-quantity","HDAC6","Gene","SIGNOR","Signalling-Networks","28599312"
"Oxytocin","Gene","up-regulates-activity","OXTR","Gene","SIGNOR","Signalling-Networks","11274341"
"CTTNBP2","Gene","up-regulates-activity","SHANK3","Gene","SIGNOR","Signalling-Networks","35562389"
"NFIA","Gene","up-regulates-quantity","NFIX","Gene","SIGNOR","Signalling-Networks","29106906"
"NFIA","Gene","down-regulates-quantity","ANOS1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","down-regulates-quantity","ID3","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","down-regulates-quantity","ETV5","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","down-regulates-quantity","FOXO6","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","down-regulates-quantity","GAS6","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","down-regulates-quantity","WNT5A","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","down-regulates-quantity","ANOS1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","down-regulates-quantity","ID3","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","down-regulates-quantity","ETV5","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","down-regulates-quantity","FOXO6","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","down-regulates-quantity","GAS6","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","down-regulates-quantity","WNT5A","Gene","SIGNOR","Signalling-Networks","31838646"
"CTTNBP2","Gene","up-regulates-activity","CTTN","Gene","SIGNOR","Signalling-Networks","22262902"
"NFIX","Gene","down-regulates-quantity","ID3","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","down-regulates-quantity","ETV5","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","down-regulates-quantity","FOXO6","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","down-regulates-quantity","GAS6","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIX","Gene","down-regulates-quantity","WNT5A","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","NEUROD1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","NEUROD4","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","SLIT1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","ROBO1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","EPHA4","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","EPHA5","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIA","Gene","up-regulates-quantity","EPHA8","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","up-regulates-quantity","NEUROD1","Gene","SIGNOR","Signalling-Networks","31838646"
"NFIB","Gene","up-regulates-quantity","NEUROD4","Gene","SIGNOR","Signalling-Networks","31838646"
"PTK2B","Gene","up-regulates-activity","ASAP2","Gene","SIGNOR","Signalling-Networks","10022920"
"ASAP2","Gene","up-regulates-activity","ARF1","Gene","SIGNOR","Signalling-Networks","10022920"
"ASAP2","Gene","up-regulates-activity","ARF6","Gene","SIGNOR","Signalling-Networks","10022920"
