INN,Target.s.,Indications.of.clinical.studies,Record.category,Most.advanced.stage.of.development..global.
Racotumomab,NeuGcGM3 idiotype,"Neuroblastoma;   Ewing's Sarcoma;   Wilm's Tumor;   Retinoblastoma;   Glioma, Non-small Cell Lung Cancer",Approved,Approved
Pertuzumab,HER2,"Non-small cell lung cancer,  pancreatic, ovarian, breast, prostate, neuroendocrine cancer",Approved,Approved
Abciximab,GP IIb/IIIa receptor,Prevention of blood clots,Approved,Approved
Zimberelimab,PD-1,"Melanoma, Colorectal cancer, Metastatic Castrate Resistant Prostate Cancer, GI malignancies, Cervical cancer, non-small cell lung cancer, Hodgkin lymphoma, advanced malignancies",Approved,Approved
Risankizumab,IL-23p19,"Atopic dermatitis, Psoriasis, Crohn's Disease, asthma, Ankylosing spondylitis, psoriatic arthritis",Approved,Approved
Raxibacumab,B. anthracis (PA),Anthrax infection,Approved,Approved
Panitumumab,EGFR,"Renal, prostate, lung, breast, colorectal Cancers",Approved,Approved
Emicizumab,"Factor IXa, Factor X",Hemophilia A,Approved,Approved
Canakinumab,IL-1 beta,"COVID-19, Cryopyrin-Associated Periodic Syndromes, Rheumatoid arthritis, wet age-related macular degeneration, Atherosclerosis and Either T2DM or IGT, Type 2 Diabetes, gout, juvenile arthritis ",Approved,Approved
Loncastuximab tesirine,CD19,"Non-Hodgkin lymphoma, B-ALL",Approved,Approved
Secukinumab,IL-17A,"Atopic dermatitis, Rheumatoid Arthritis, Plaque-type Psoriasis, Psoriatic Arthritis, Ankylosing Spondylitis, Multiple Sclerosis, Crohn's Disease, Uveitis, Asthma",Approved,Approved
Cadonilimab,"PD-1, CTLA-4","Pancreatic cancer, Clear Cell Renal Cell Carcinoma, Non-small cell lung cancer, MSI-H/dMMR Solid Tumor, Cervical cancer, Hepatocellular carcinoma, peripheral T-cell lymphoma, Melanoma, Gastric or Gastroesophageal Junction Adenocarcinoma, Solid tumors",Approved,Approved
