InteractorA,Relation,InteractorB,PMID
CDK7,inhibitor,SNS-032,
TRPC6,blocker,ACAA,
PDGFRB,inhibitor,QUIZARTINIB,
MMP2,inhibitor,ARP100,
PIK3R2,inhibitor,PF-4691502,
CHRM5,agonist,NNC 11-1607,
F2R,inhibitor,RIGOSERTIB SODIUM,
HTR1A,agonist,LYSERGIDE,
PI4KB,inhibitor,PIK-93,
CD2,inhibitor,ALEFACEPT,
CACNA1F,modulator,IMAGABALIN,
GABRA6,allosteric modulator,BRETAZENIL,
SMARCA4,inhibitor,PFI-3,
CSF1R,inhibitor,CEDIRANIB,
TLR8,agonist,MOTOLIMOD,
SCN11A,blocker,NKTR-171,
DRD4,antagonist,LOXAPINE SUCCINATE,
ALK,inhibitor,ASP3026,
IRAK4,inhibitor,ND-2110,
TUBA3E,inhibitor,COLCHICINE,
HRH4,antagonist,MK-0249,
HTR2B,agonist,RO 60-0175,
TUBB,inhibitor,PACLITAXEL,
GRM2,allosteric modulator,COMPOUND 4,21105727
FLT3,inhibitor,LINIFANIB,
JAK2,inhibitor,RUXOLITINIB,
PDGFRB,inhibitor,PAZOPANIB,
PDE4C,inhibitor,OXTRIPHYLLINE,
FLT1,inhibitor,VANDETANIB,
AVPR2,antagonist,SKF-105494,
PRKCQ,inhibitor,PKCë÷ INHIBITOR 14,
CCR2,antagonist,GSK COMPOUND 34,
CCR2,antagonist,BMS-681,
LCK,inhibitor,ECF506,
ALK,inhibitor,ASP3026,
HDAC11,inhibitor,PANOBINOSTAT LACTATE,
FURIN,inhibitor,MI-1148,
HDAC1,inhibitor,CUDC-101,
HRH1,antagonist,DOXEPIN,
EDNRA,antagonist,ZIBOTENTAN,
TRPC5,activator,BTD,
DRD2,agonist,QUINPIROLE,
NAT1,inhibitor,ORPHENADRINE (CHLORIDE),
HTR2C,antagonist,ZIPRASIDONE,
LTB4R,antagonist,AMELUBANT,
SCN4A,blocker,ESLICARBAZEPINE,
P2RY14,agonist,UDP-GLUCURONIC ACID,
ROCK2,inhibitor,RHO KINASE INHIBITOR IV,
CHRM3,agonist,ARECOLINE,
FGFR4,inhibitor,DEBIO1347,
GALR1,agonist,GAL-B5,
GRIN2A,positive modulator,NEBOGLAMINE,
PIK3CA,inhibitor,ALPELISIB,
GPBAR1,agonist,LITHOCHOLIC ACID,
PTGER4,agonist,TCS 2510,
AR,agonist,TESTOSTERONE UNDECANOATE,
ADAMTS5,inhibitor,COMPOUND 15C,21536437
HTR1A,agonist,CP 93129,
EGFR,inhibitor,POZIOTINIB,
KDR,agonist,TELBERMIN,
CBR1,inhibitor,WEDELOLACTONE,
IGHE,antibody,LIGELIZUMAB,
LHCGR,agonist,CHORIOGONADOTROPIN ALFA,
PRLHR,agonist,PRRP-20,
CA5A,activator,L-HISTIDINE,
HTR1D,agonist,ERGOTAMINE TARTRATE,
KDR,inhibitor,Fruquintinib,
TPH2,inhibitor,FENFLURAMINE,
PROKR1,agonist,IS1,
CHEK2,inhibitor,PREXASERTIB,
AKT1,inhibitor,GSK690693,
DPP4,inhibitor,OMARIGLIPTIN,
CCR5,antagonist,MARAVIROC,
HDAC4,inhibitor,CUDC-101,
MAPK11,inhibitor,RWJ-67657,
CXCR1,allosteric modulator,REPARIXIN,
NPR1,antagonist,"[ASU7,23']ëÕ-ANP-(7-28)",
IKBKE,inhibitor,COMPOUND II,21329883
ADORA2B,antagonist,ZM-241385,
GRM7,allosteric modulator,XAP044,
P4HTM,inhibitor,DAPRODUSTAT,
AVPR2,antagonist,TOLVAPTAN,
HMGCR,inhibitor,COMPOUND 41,17574411
PIK3CG,inhibitor,TG100-115,
HTR2A,agonist,DOI,
PIK3R3,inhibitor,GDC-0941,
GRIN2D,agonist,[3H]GLYCINE,
GALR1,agonist,GALANIN(3-29) (RAT/MOUSE),
GABRQ,positive modulator,PROPOFOL,
GABRA3,allosteric modulator,TPA023,
PTGS1,inhibitor,SUPROFEN,
GABRA5,positive modulator,CHLORDIAZEPOXIDE,
PIK3CA,inhibitor,INK-1117,
TUBA3E,inhibitor,VINCRISTINE SULFATE,
RXRG,agonist,ALITRETINOIN,
OPRL1,antagonist,NIK-21273,
AKT3,inhibitor,IPATASERTIB,
NR3C1,agonist,BETAMETHASONE BENZOATE,
RPS6KB1,inhibitor,LY-2780301,
CHRM1,agonist,PILOCARPINE HYDROCHLORIDE,
GABRA1,allosteric modulator,[11C]FLUMAZENIL,
CCR4,agonist,[125I]CCL17 (HUMAN),
TUBB1,inhibitor,TRASTUZUMAB EMTANSINE,
PIK3CA,inhibitor,GSK1059615,
GABRA3,blocker,[35S]TBPS,
RRM2,inhibitor,HYDROXYUREA,
CSF2RA,agonist,SARGRAMOSTIM,
CHRM5,antagonist,HEXOCYCLIUM,
KDR,inhibitor,ENMD-2076,
GALR1,agonist,GAL-B2-C18,
NPR1,agonist,NESIRITIDE,
RRM2,inhibitor,FLUDARABINE PHOSPHATE,
OPRD1,agonist,ADL5859,
NDUFB2,inhibitor,NV-128,
FLT3,inhibitor,PLX3397,
AVPR1A,antagonist,D(CH2),
PSMB4,inhibitor,OPROZOMIB,
PGR,agonist,FLUTICASONE PROPIONATE,
GLP1R,antagonist,EXENDIN-(9-39),
KCNK10,activator,HALOTHANE,
NR3C2,agonist,DESOXYCORTICOSTERONE PIVALATE,
C3AR1,agonist,CASOXIN C,
PSMB2,inhibitor,CARFILZOMIB,
CDK8,inhibitor,Roniciclib,
CHRM2,antagonist,MUSCARINIC TOXIN 7,
CASP9,inhibitor,NIVOCASAN,
MAOA,inhibitor,PHENELZINE SULFATE,
ASIC3,blocker,AMILORIDE,
ADRA1B,agonist,DROXIDOPA,
KCNJ11,blocker,GLIPIZIDE,
GRIN3B,antagonist,Indantadol,
GRIA1,antagonist,ZONAMPANEL,
DRD2,antagonist,OLANZAPINE,
SIK2,inhibitor,ARN-3236,
HTR1A,agonist,ROXINDOLE,
HTR2A,antagonist,MIANSERIN,
ADRA2C,agonist,GUANFACINE,
AGTR1,antagonist,"[SAR1,GLY4,GLY8]ANG-II",
SCN4A,blocker,BENOXINATE HYDROCHLORIDE,
OPRK1,agonist,GR 89696,
NR3C1,agonist,DESOXIMETASONE,
ALK,inhibitor,X-396,
HTR1A,agonist,LISURIDE,
IL2RA,inhibitor,DACLIZUMAB,
NR1H4,agonist,TROPIFEXOR,
PDE3B,inhibitor,THEOPHYLLINE,
CALCR,agonist,[125I]CT (HUMAN),
AURKC,inhibitor,SU6656,
GPR55,antagonist,AM281,
GABRA4,positive modulator,HALAZEPAM,
TRPM3,activator,SPHINGOSINE,
ARAF,inhibitor,LGX818,
SLC15A1,inhibitor,LY,
MTOR,inhibitor,BEZ235,
PSMD14,inhibitor,CARFILZOMIB,
OPRD1,agonist,BW373U86,
GABRA3,agonist,[3H]MUSCIMOL,
FFAR4,agonist,COMPOUND A,
HTR1E,antagonist,FLUSPIRILENE,
PIK3R1,inhibitor,RG-7666,
PPARG,agonist,L-783483,
P2RX7,antagonist,COMPOUND 16I,31525963
EGFR,inhibitor,PANITUMUMAB,
SCN5A,blocker,DRONEDARONE HYDROCHLORIDE,
BRD4,inhibitor,LY 294002,
RARG,agonist,RO 40-6055,
MT-ND4,inhibitor,METFORMIN HYDROCHLORIDE,
RXFP4,agonist,INSL5 AMIDE (HUMAN),
PTGER3,agonist,CLOPROSTENOL,
ADRB2,antagonist,LEVOBUNOLOL,
CYP17A1,inhibitor,GALETERONE,
