"arabic","english","category"
"الأردن","Jordan","1"
"مصر","Egypt","1"
"المغرب","Morocco","1"
"السعودية","Saudi Arabia","1"
"الجزائر","Algeria","1"
"تركيا","Turkey","2"
"فلسطين","Palestine","1"
"سوريا","Syria","1"
"ألمانيا","Europe","2"
"الإمارات","UAE","1"
"تونس","Tunisia","1"
"العراق","Iraq","1"
"الكويت","Kuwait","1"
"لبنان","Lebanon","1"
"فرنسا","Europe","2"
"قطر","Qatar","1"
"الولايات المتحدة","North America","2"
"كندا","North America","2"
"السودان","Sudan","1"
"السويد","Europe","2"
"اليمن","Yemen","1"
"ليبيا","Libya","1"
"إسبانيا","Europe","2"
"المملكة المتحدة","Europe","2"
"إسرائيل","Palestine","1"
"سلطنة عمان","Oman","1"
"بلجيكا","Europe","2"
"هولندا","Europe","2"
"إيطاليا","Europe","2"
"البحرين","Bahrain","1"
"ماليزيا","Others","2"
"موريتانيا","Mauritania","1"
"النمسا","Europe","2"
"أستراليا","Others","2"
"النرويج","Europe","2"
"الدنمارك","Europe","2"
"الصومال","Other Arab","1"
"الجزر العذراء البريطانية (المملكة المتحدة)","Europe","2"
"الصحراء الغربية","Morocco","1"
"أروبا (هولندا)","Europe","2"
"روسيا","Others","2"
"سويسرا","Europe","2"
"فنلندا","Europe","2"
"اليابان","Others","2"
"أوكرانيا","Europe","2"
"اليونان","Europe","2"
"إندونيسيا","Others","2"
"المجر","Europe","2"
"الهند","Others","2"
"جمهورية أيرلندا","Europe","2"
"بولينزيا الفرنسية (فرنسا)","Others","2"
"الإكوادور","Others","2"
"الأرجنتين","Others","2"
"البرازيل","Others","2"
"الصين","Others","2"
"رومانيا","Europe","2"
"البرتغال","Europe","2"
"التشيك","Europe","2"
"الجزر الكاريبية الهولندية (هولندا)","Others","2"
"جنوب أفريقيا","Others","2"
"كوريا الجنوبية","Others","2"
"لوكسمبورغ","Europe","2"
"البوسنة والهرسك","Europe","2"
"قبرص","Europe","2"
"بولندا","Europe","2"
"ريونيون (فرنسا)","Europe","2"
"السنغال","Others","2"
"باكستان","Others","2"
"جوادلوب (فرنسا)","Others","2"
"نيوزيلندا","Europe","2"
"أنغولا","Others","2"
"إثيوبيا","Others","2"
"إريتريا","Others","2"
"إيران","Others","2"
"بنما","Others","2"
"سانت مارتن الفرنسية (فرنسا)","Others","2"
"كرواتيا","Europe","2"
"أرمينيا","Others","2"
"أفغانستان","Others","2"
"ألبانيا","Europe","2"
"البهاما","Others","2"
"الغابون","Others","2"
"الفلبين","Others","2"
"بلغاريا","Others","2"
"بنغلاديش","Others","2"
"بورتوريكو (الولايات المتحدة)","North America","2"
"ساحل العاج","Others","2"
"غانا","Others","2"
"نيجيريا","Others","2"
"أنجويلا (المملكة المتحدة)","Others","2"
"أوزبكستان","Others","2"
"الجبل الأسود","Others","2"
"بروناي","Others","2"
"بيلاروسيا","Others","2"
"تشاد","Others","2"
"تشيلي","Others","2"
"جرينلاند (الدنمارك)","Others","2"
"جزر القمر","Other Arab","1"
"جمهورية الكونغو","Others","2"
"جورجيا","Others","2"
"جيبوتي","Other Arab","1"
"سان بارتليمي (فرنسا)","Others","2"
"سنغافورة","Others","2"
"غامبيا","Others","2"
"قرغيزستان","Others","2"
"مالي","Others","2"
"مايوت (فرنسا)","Others","2"
"مدغشقر","Others","2"
"مولدافيا","Others","2"
"آيسلندا","Others","2"
"أنتيغوا وباربودا","Others","2"
"إستونيا","Others","2"
"الرأس الأخضر","Others","2"
"السلفادور","Others","2"
"المكسيك","Others","2"
"النيجر","Others","2"
"برمودا (المملكة المتحدة)","Others","2"
"بوتسوانا","Others","2"
"بورما","Others","2"
"بيرو","Others","2"
"تايلاند","Others","2"
"توغو","Others","2"
"جامايكا","Others","2"
"جبل طارق (منطقة حكم ذاتي) (المملكة المتحدة)","Others","2"
"جزر العذراء الأمريكية (الولايات المتحدة)","Others","2"
"جزر فارو (الدنمارك)","Others","2"
"جزر كايمان (المملكة المتحدة)","Others","2"
"جزر كوك (نيوزيلندا)","Others","2"
"جزر كوكس (أستراليا)","Others","2"
"جمهورية أفريقيا الوسطى","Others","2"
"جمهورية الدومينيكان","Others","2"
"جمهورية الكونغو الديمقراطية","Others","2"
"سان مارينو","Others","2"
"سينت مارتن (هولندا)","Others","2"
"صربيا","Others","2"
"غويانا الفرنسية (فرنسا)","Others","2"
"غينيا بيساو","Others","2"
"كازاخستان","Others","2"
"كولومبيا","Others","2"
"كينيا","Others","2"
"لاتفيا","Others","2"
"ليختنشتاين","Others","2"
"مالطا","Others","2"
"موزمبيق","Others","2"
"هونغ كونغ (الصين)","Others","2"
"والس وفوتونا (فرنسا)","Others","2"
"غير متأكد","Not sure","covid"
"لا","No","covid"
"نعم","Yes","covid"
"أقل من شهادة الثانوية العامة (طالب مدرسة مثلا)","Lower education","education"
"شهادة الثانوية العامة","Lower education","education"
"بعض التحصيل بعد الثانوية (طالب جامعة أو طالب كلية مجتمع مثلاً)","Lower education","education"
"شهادة جامعية (بكالوريوس أو ما يعادلها) أو دبلوم.","Higher education","education"
"شهادة جامعية متقدمة (ماجستير أو دكتوراة أو ما يعادلها كالزمالة في الطب)","Higher education","education"
"ذكر","Male","gender"
"أنثى","Female","gender"
"لا أعمل في المجال الصحي","Not HCW","job"
"أعمل في المجال الصحي","HCW","job"
"نهائياً","Never","influenza"
"نادراً","Rarely","influenza"
"بعض السنوات","Some years","influenza"
"نعم سنوياً","Yearly","influenza"
"نعم","Acceptance","vaccine"
"بحسب نوعه","Acceptance","vaccine"
"سأنتظر حتى أرى النتيجة مع الآخرين","Hesitance","vaccine"
"لست متأكداً","Hesitance","vaccine"
"لا","Hesitance","vaccine"
