NCBI GeneID,Symbol,Description,Taxonomic Name,Gene Type,Ensembl GeneIDs
7157,TP53,tumor protein p53,Homo sapiens,PROTEIN_CODING,ENSG00000141510
1956,EGFR,epidermal growth factor receptor,Homo sapiens,PROTEIN_CODING,ENSG00000146648
7124,TNF,tumor necrosis factor,Homo sapiens,PROTEIN_CODING,ENSG00000232810
348,APOE,apolipoprotein E,Homo sapiens,PROTEIN_CODING,ENSG00000130203
7422,VEGFA,vascular endothelial growth factor A,Homo sapiens,PROTEIN_CODING,ENSG00000112715
3569,IL6,interleukin 6,Homo sapiens,PROTEIN_CODING,ENSG00000136244
7040,TGFB1,transforming growth factor beta 1,Homo sapiens,PROTEIN_CODING,ENSG00000105329
4524,MTHFR,methylenetetrahydrofolate reductase,Homo sapiens,PROTEIN_CODING,ENSG00000177000
2064,ERBB2,erb-b2 receptor tyrosine kinase 2,Homo sapiens,PROTEIN_CODING,ENSG00000141736
3091,HIF1A,hypoxia inducible factor 1 subunit alpha,Homo sapiens,PROTEIN_CODING,ENSG00000100644
2099,ESR1,estrogen receptor 1,Homo sapiens,PROTEIN_CODING,ENSG00000091831
3586,IL10,interleukin 10,Homo sapiens,PROTEIN_CODING,ENSG00000136634
351,APP,amyloid beta precursor protein,Homo sapiens,PROTEIN_CODING,ENSG00000142192
1636,ACE,angiotensin I converting enzyme,Homo sapiens,PROTEIN_CODING,ENSG00000159640
672,BRCA1,BRCA1 DNA repair associated,Homo sapiens,PROTEIN_CODING,ENSG00000012048
6774,STAT3,signal transducer and activator of transcription 3,Homo sapiens,PROTEIN_CODING,ENSG00000168610
4318,MMP9,matrix metallopeptidase 9,Homo sapiens,PROTEIN_CODING,ENSG00000100985
1401,CRP,C-reactive protein,Homo sapiens,PROTEIN_CODING,ENSG00000132693
3845,KRAS,"KRAS proto-oncogene, GTPase",Homo sapiens,PROTEIN_CODING,ENSG00000133703
627,BDNF,brain derived neurotrophic factor,Homo sapiens,PROTEIN_CODING,ENSG00000176697
673,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",Homo sapiens,PROTEIN_CODING,ENSG00000157764
9370,ADIPOQ,"adiponectin, C1Q and collagen domain containing",Homo sapiens,PROTEIN_CODING,ENSG00000181092
367,AR,androgen receptor,Homo sapiens,PROTEIN_CODING,ENSG00000169083
207,AKT1,AKT serine/threonine kinase 1,Homo sapiens,PROTEIN_CODING,ENSG00000142208
5243,ABCB1,ATP binding cassette subfamily B member 1,Homo sapiens,PROTEIN_CODING,ENSG00000085563
3123,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",Homo sapiens,PROTEIN_CODING,ENSG00000196126
4790,NFKB1,nuclear factor kappa B subunit 1,Homo sapiens,PROTEIN_CODING,ENSG00000109320
7421,VDR,vitamin D receptor,Homo sapiens,PROTEIN_CODING,ENSG00000111424
3553,IL1B,interleukin 1 beta,Homo sapiens,PROTEIN_CODING,ENSG00000125538
1029,CDKN2A,cyclin dependent kinase inhibitor 2A,Homo sapiens,PROTEIN_CODING,ENSG00000147889
5728,PTEN,phosphatase and tensin homolog,Homo sapiens,PROTEIN_CODING,ENSG00000171862
1499,CTNNB1,catenin beta 1,Homo sapiens,PROTEIN_CODING,ENSG00000168036
7099,TLR4,toll like receptor 4,Homo sapiens,PROTEIN_CODING,ENSG00000136869
5743,PTGS2,prostaglandin-endoperoxide synthase 2,Homo sapiens,PROTEIN_CODING,ENSG00000073756
4846,NOS3,nitric oxide synthase 3,Homo sapiens,PROTEIN_CODING,ENSG00000164867
1080,CFTR,CF transmembrane conductance regulator,Homo sapiens,PROTEIN_CODING,ENSG00000001626
1312,COMT,catechol-O-methyltransferase,Homo sapiens,PROTEIN_CODING,ENSG00000093010
6622,SNCA,synuclein alpha,Homo sapiens,PROTEIN_CODING,ENSG00000145335
3576,CXCL8,C-X-C motif chemokine ligand 8,Homo sapiens,PROTEIN_CODING,ENSG00000169429
29126,CD274,CD274 molecule,Homo sapiens,PROTEIN_CODING,ENSG00000120217
7015,TERT,telomerase reverse transcriptase,Homo sapiens,PROTEIN_CODING,ENSG00000164362
5468,PPARG,peroxisome proliferator activated receptor gamma,Homo sapiens,PROTEIN_CODING,ENSG00000132170
6532,SLC6A4,solute carrier family 6 member 4,Homo sapiens,PROTEIN_CODING,ENSG00000108576
4609,MYC,"MYC proto-oncogene, bHLH transcription factor",Homo sapiens,PROTEIN_CODING,ENSG00000136997
4137,MAPT,microtubule associated protein tau,Homo sapiens,PROTEIN_CODING,ENSG00000186868
3106,HLA-B,"major histocompatibility complex, class I, B",Homo sapiens,PROTEIN_CODING,ENSG00000234745
2475,MTOR,mechanistic target of rapamycin kinase,Homo sapiens,PROTEIN_CODING,ENSG00000198793
999,CDH1,cadherin 1,Homo sapiens,PROTEIN_CODING,ENSG00000039068
3479,IGF1,insulin like growth factor 1,Homo sapiens,PROTEIN_CODING,ENSG00000017427
596,BCL2,BCL2 apoptosis regulator,Homo sapiens,PROTEIN_CODING,ENSG00000171791
3952,LEP,leptin,Homo sapiens,PROTEIN_CODING,ENSG00000174697
7852,CXCR4,C-X-C motif chemokine receptor 4,Homo sapiens,PROTEIN_CODING,ENSG00000121966
2944,GSTM1,glutathione S-transferase mu 1,Homo sapiens,PROTEIN_CODING,ENSG00000134184
3458,IFNG,interferon gamma,Homo sapiens,PROTEIN_CODING,ENSG00000111537
675,BRCA2,BRCA2 DNA repair associated,Homo sapiens,PROTEIN_CODING,ENSG00000139618
4193,MDM2,MDM2 proto-oncogene,Homo sapiens,PROTEIN_CODING,ENSG00000135679
3717,JAK2,Janus kinase 2,Homo sapiens,PROTEIN_CODING,ENSG00000096968
4313,MMP2,matrix metallopeptidase 2,Homo sapiens,PROTEIN_CODING,ENSG00000087245
920,CD4,CD4 molecule,Homo sapiens,PROTEIN_CODING,ENSG00000010610
4780,NFE2L2,NFE2 like bZIP transcription factor 2,Homo sapiens,PROTEIN_CODING,ENSG00000116044
5594,MAPK1,mitogen-activated protein kinase 1,Homo sapiens,PROTEIN_CODING,ENSG00000100030
595,CCND1,cyclin D1,Homo sapiens,PROTEIN_CODING,ENSG00000110092
3605,IL17A,interleukin 17A,Homo sapiens,PROTEIN_CODING,ENSG00000112115
5054,SERPINE1,serpin family E member 1,Homo sapiens,PROTEIN_CODING,ENSG00000106366
5444,PON1,paraoxonase 1,Homo sapiens,PROTEIN_CODING,ENSG00000005421
6347,CCL2,C-C motif chemokine ligand 2,Homo sapiens,PROTEIN_CODING,ENSG00000108691
1234,CCR5,C-C motif chemokine receptor 5,Homo sapiens,PROTEIN_CODING,ENSG00000160791
1026,CDKN1A,cyclin dependent kinase inhibitor 1A,Homo sapiens,PROTEIN_CODING,ENSG00000124762
5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",Homo sapiens,PROTEIN_CODING,ENSG00000121879
23411,SIRT1,sirtuin 1,Homo sapiens,PROTEIN_CODING,ENSG00000096717
332,BIRC5,baculoviral IAP repeat containing 5,Homo sapiens,PROTEIN_CODING,ENSG00000089685
4879,NPPB,natriuretic peptide B,Homo sapiens,PROTEIN_CODING,ENSG00000120937
2952,GSTT1,glutathione S-transferase theta 1,Homo sapiens,PROTEIN_CODING,
6647,SOD1,superoxide dismutase 1,Homo sapiens,PROTEIN_CODING,ENSG00000142168
7097,TLR2,toll like receptor 2,Homo sapiens,PROTEIN_CODING,ENSG00000137462
4851,NOTCH1,notch receptor 1,Homo sapiens,PROTEIN_CODING,ENSG00000148400
960,CD44,CD44 molecule (Indian blood group),Homo sapiens,PROTEIN_CODING,ENSG00000026508
1493,CTLA4,cytotoxic T-lymphocyte associated protein 4,Homo sapiens,PROTEIN_CODING,ENSG00000163599
2950,GSTP1,glutathione S-transferase pi 1,Homo sapiens,PROTEIN_CODING,ENSG00000084207
2147,F2,"coagulation factor II, thrombin",Homo sapiens,PROTEIN_CODING,ENSG00000180210
3146,HMGB1,high mobility group box 1,Homo sapiens,PROTEIN_CODING,ENSG00000189403
4233,MET,"MET proto-oncogene, receptor tyrosine kinase",Homo sapiens,PROTEIN_CODING,ENSG00000105976
